sample_id,policy,v,d,design_stratum,threshold_region,expected_action,observed_action,optimal_action,utility_regret,certificate_valid,probabilistic_certificate_valid
phase1-003-broad_grid,defect,1.0,2.0,broad_grid,safe,COOPERATE,ATTACK,0,1.5,False,
phase1-004-broad_grid,defect,1.0,4.0,broad_grid,safe,COOPERATE,ATTACK,0,4.0,False,
phase1-005-broad_grid,defect,1.0,6.0,broad_grid,safe,COOPERATE,ATTACK,0,6.5,False,
phase1-006-broad_grid,defect,1.0,8.0,broad_grid,safe,COOPERATE,ATTACK,0,8.0,False,
phase1-007-broad_grid,defect,2.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-008-broad_grid,defect,2.0,2.0,broad_grid,safe,COOPERATE,ATTACK,0,0.5,False,
phase1-009-broad_grid,defect,2.0,4.0,broad_grid,safe,COOPERATE,ATTACK,0,3.0,False,
phase1-010-broad_grid,defect,2.0,6.0,broad_grid,safe,COOPERATE,ATTACK,0,5.5,False,
phase1-011-broad_grid,defect,2.0,8.0,broad_grid,safe,COOPERATE,ATTACK,0,7.0,False,
phase1-012-just_safe,defect,2.25,2.0,just_safe,safe,COOPERATE,ATTACK,0,0.25,False,
phase1-013-exact_boundary,defect,2.5,2.0,exact_boundary,boundary,COOPERATE,ATTACK,0,0.0,False,
