sample_id,policy,v,d,design_stratum,threshold_region,expected_action,observed_action,optimal_action,utility_regret,certificate_valid,probabilistic_certificate_valid
phase1-023-broad_grid,proof,6.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-024-broad_grid,proof,6.0,2.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-025-broad_grid,proof,6.0,4.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-026-broad_grid,proof,6.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-027-broad_grid,proof,6.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-028-just_safe,proof,7.25,6.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-029-exact_boundary,proof,7.5,6.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-030-just_unsafe,proof,7.75,6.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-031-broad_grid,proof,8.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-032-broad_grid,proof,8.0,2.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-033-broad_grid,proof,8.0,4.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-034-broad_grid,proof,8.0,6.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-035-broad_grid,proof,8.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-036-just_safe,proof,8.75,8.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-037-exact_boundary,proof,9.0,8.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-038-just_unsafe,proof,9.25,8.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-000-exact_boundary,dupoc,0.0,0.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-001-just_unsafe,dupoc,0.25,0.0,just_unsafe,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-002-broad_grid,dupoc,1.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-003-broad_grid,dupoc,1.0,2.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-004-broad_grid,dupoc,1.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-005-broad_grid,dupoc,1.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-006-broad_grid,dupoc,1.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-007-broad_grid,dupoc,2.0,0.0,broad_grid,unsafe,ATTACK,ATTACK,1,0.0,True,
phase1-008-broad_grid,dupoc,2.0,2.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-009-broad_grid,dupoc,2.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-010-broad_grid,dupoc,2.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
