grouping,metric,unit,row,column,mean,available_n,eligible_n
model,second_action_rate,rate,GPT-5 mini,Stag Hunt — Incident response,0.2604166666666667,96,96
model,second_action_rate,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.4895833333333333,96,96
model,second_action_rate,rate,GPT-5 mini,Weighted mean,0.21875,384,384
model,second_action_rate,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.0625,96,96
model,second_action_rate,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.28125,96,96
model,second_action_rate,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.15625,96,96
model,second_action_rate,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.23958333333333334,96,96
model,second_action_rate,rate,Gemini 3 Flash Preview,Weighted mean,0.18489583333333334,384,384
model,second_action_rate,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.0,96,96
model,second_action_rate,rate,Llama 3.3 70B,Chicken — Escalation,0.16666666666666666,96,96
model,second_action_rate,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.020833333333333332,96,96
model,second_action_rate,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.53125,96,96
model,second_action_rate,rate,Llama 3.3 70B,Weighted mean,0.1796875,384,384
model,second_action_rate,rate,Average,Prisoner's Dilemma — Deployment race,0.07291666666666667,384,384
model,second_action_rate,rate,Average,Chicken — Escalation,0.19791666666666666,384,384
model,second_action_rate,rate,Average,Stag Hunt — Incident response,0.18489583333333334,384,384
model,second_action_rate,rate,Average,Battle of the Sexes — Protocol selection,0.3984375,384,384
model,second_action_rate,rate,Average,Weighted mean,0.21354166666666666,1536,1536
model,mutual_cooperation,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.78125,96,96
model,mutual_cooperation,rate,Claude Sonnet 4.5,Chicken — Escalation,0.5520833333333334,96,96
model,mutual_cooperation,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.6979166666666666,96,96
model,mutual_cooperation,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.5416666666666666,96,96
model,mutual_cooperation,rate,Claude Sonnet 4.5,Weighted mean,0.6432291666666666,384,384
model,mutual_cooperation,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.8854166666666666,96,96
model,mutual_cooperation,rate,GPT-5 mini,Chicken — Escalation,0.7083333333333334,96,96
model,mutual_cooperation,rate,GPT-5 mini,Stag Hunt — Incident response,0.6666666666666666,96,96
model,mutual_cooperation,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.3333333333333333,96,96
model,mutual_cooperation,rate,GPT-5 mini,Weighted mean,0.6484375,384,384
model,mutual_cooperation,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.90625,96,96
model,mutual_cooperation,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.5104166666666666,96,96
model,mutual_cooperation,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.75,96,96
model,mutual_cooperation,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.5416666666666666,96,96
model,mutual_cooperation,rate,Gemini 3 Flash Preview,Weighted mean,0.6770833333333334,384,384
model,mutual_cooperation,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.9270833333333334,96,96
model,mutual_cooperation,rate,Llama 3.3 70B,Chicken — Escalation,0.6458333333333334,96,96
model,mutual_cooperation,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.84375,96,96
model,mutual_cooperation,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.3125,96,96
model,mutual_cooperation,rate,Llama 3.3 70B,Weighted mean,0.6822916666666666,384,384
model,mutual_cooperation,rate,Average,Prisoner's Dilemma — Deployment race,0.875,384,384
model,mutual_cooperation,rate,Average,Chicken — Escalation,0.6041666666666666,384,384
model,mutual_cooperation,rate,Average,Stag Hunt — Incident response,0.7395833333333334,384,384
model,mutual_cooperation,rate,Average,Battle of the Sexes — Protocol selection,0.4322916666666667,384,384
model,mutual_cooperation,rate,Average,Weighted mean,0.6627604166666666,1536,1536
model,mutual_competition,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.0625,96,96
model,mutual_competition,rate,Claude Sonnet 4.5,Chicken — Escalation,0.0,96,96
model,mutual_competition,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.19791666666666666,96,96
model,mutual_competition,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.23958333333333334,96,96
model,mutual_competition,rate,Claude Sonnet 4.5,Weighted mean,0.125,384,384
model,mutual_competition,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.010416666666666666,96,96
model,mutual_competition,rate,GPT-5 mini,Chicken — Escalation,0.0,96,96
model,mutual_competition,rate,GPT-5 mini,Stag Hunt — Incident response,0.15625,96,96
model,mutual_competition,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.22916666666666666,96,96
model,mutual_competition,rate,GPT-5 mini,Weighted mean,0.09895833333333333,384,384
model,mutual_competition,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.010416666666666666,96,96
model,mutual_competition,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.0,96,96
model,mutual_competition,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.0625,96,96
model,mutual_competition,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.17708333333333334,96,96
model,mutual_competition,rate,Gemini 3 Flash Preview,Weighted mean,0.0625,384,384
model,mutual_competition,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,0.0,96,96
model,mutual_competition,rate,Llama 3.3 70B,Chicken — Escalation,0.0,96,96
model,mutual_competition,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.020833333333333332,96,96
model,mutual_competition,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.2708333333333333,96,96
model,mutual_competition,rate,Llama 3.3 70B,Weighted mean,0.07291666666666667,384,384
model,mutual_competition,rate,Average,Prisoner's Dilemma — Deployment race,0.020833333333333332,384,384
model,mutual_competition,rate,Average,Chicken — Escalation,0.0,384,384
model,mutual_competition,rate,Average,Stag Hunt — Incident response,0.109375,384,384
model,mutual_competition,rate,Average,Battle of the Sexes — Protocol selection,0.22916666666666666,384,384
model,mutual_competition,rate,Average,Weighted mean,0.08984375,1536,1536
model,coordination_success,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.84375,96,96
model,coordination_success,rate,Claude Sonnet 4.5,Chicken — Escalation,0.5520833333333334,96,96
model,coordination_success,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.8958333333333334,96,96
model,coordination_success,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.78125,96,96
model,coordination_success,rate,Claude Sonnet 4.5,Weighted mean,0.7682291666666666,384,384
model,coordination_success,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.8958333333333334,96,96
model,coordination_success,rate,GPT-5 mini,Chicken — Escalation,0.7083333333333334,96,96
model,coordination_success,rate,GPT-5 mini,Stag Hunt — Incident response,0.8229166666666666,96,96
model,coordination_success,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.5625,96,96
model,coordination_success,rate,GPT-5 mini,Weighted mean,0.7473958333333334,384,384
model,coordination_success,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.9166666666666666,96,96
model,coordination_success,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.5104166666666666,96,96
model,coordination_success,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.8125,96,96
